driver,lap,time
4,1,1:34.494
20,1,1:35.274
17,1,1:36.329
1,1,1:36.991
808,1,1:38.084
30,1,1:38.633
3,1,1:39.139
13,1,1:39.979
67,1,1:40.611
18,1,1:40.998
815,1,1:41.433
153,1,1:41.876
813,1,1:42.255
814,1,1:42.808
15,1,1:43.553
5,1,1:44.276
2,1,1:45.164
16,1,1:46.107
24,1,1:46.737
22,1,1:47.077
10,1,1:47.556
39,1,1:48.183
816,1,1:48.573
155,1,1:57.590
20,2,1:30.633
4,2,1:30.812
17,2,1:30.827
1,2,1:31.189
808,2,1:32.394
13,2,1:32.589
3,2,1:32.784
30,2,1:32.839
18,2,1:33.150
67,2,1:33.281
815,2,1:33.462
153,2,1:33.610
814,2,1:33.684
813,2,1:33.713
15,2,1:33.968
5,2,1:34.461
2,2,1:34.838
22,2,1:35.180
16,2,1:35.586
10,2,1:36.456
39,2,1:36.537
816,2,1:36.553
24,2,1:36.641
155,2,1:55.192
17,3,1:30.082
1,3,1:30.239
20,3,1:30.549
4,3,1:30.606
808,3,1:31.620
30,3,1:32.136
13,3,1:32.187
3,3,1:32.187
155,3,1:32.575
67,3,1:32.686
815,3,1:32.783
153,3,1:32.804
18,3,1:32.804
813,3,1:32.865
814,3,1:33.054
15,3,1:33.376
5,3,1:33.388
2,3,1:34.520
16,3,1:35.026
22,3,1:35.129
10,3,1:35.865
39,3,1:36.010
24,3,1:36.013
816,3,1:36.056
1,4,1:30.011
4,4,1:30.012
17,4,1:30.197
20,4,1:30.346
808,4,1:31.181
18,4,1:31.195
30,4,1:32.005
13,4,1:32.103
3,4,1:32.434
155,4,1:32.592
815,4,1:32.668
814,4,1:32.731
813,4,1:32.747
153,4,1:32.833
15,4,1:33.154
5,4,1:33.223
67,4,1:33.231
2,4,1:33.910
16,4,1:34.610
22,4,1:34.693
24,4,1:35.448
816,4,1:35.639
39,4,1:35.697
10,4,1:35.863
1,5,1:30.083
20,5,1:30.120
17,5,1:30.196
4,5,1:30.318
18,5,1:31.097
808,5,1:31.523
3,5,1:31.597
30,5,1:31.738
13,5,1:31.895
67,5,1:32.265
815,5,1:32.343
155,5,1:32.490
153,5,1:32.550
813,5,1:32.907
5,5,1:32.942
15,5,1:32.951
814,5,1:32.980
2,5,1:33.737
16,5,1:34.435
22,5,1:34.716
24,5,1:35.208
39,5,1:35.293
10,5,1:35.340
816,5,1:35.593
20,6,1:30.023
4,6,1:30.039
1,6,1:30.127
17,6,1:30.280
18,6,1:31.635
808,6,1:31.689
3,6,1:31.710
30,6,1:31.711
67,6,1:31.834
13,6,1:31.839
815,6,1:32.046
813,6,1:32.201
814,6,1:32.437
153,6,1:32.494
155,6,1:32.564
5,6,1:32.657
15,6,1:32.905
2,6,1:33.373
22,6,1:34.248
16,6,1:34.268
24,6,1:35.010
10,6,1:35.206
816,6,1:35.551
39,6,1:37.073
4,7,1:30.007
17,7,1:30.055
20,7,1:30.062
1,7,1:30.183
3,7,1:31.829
13,7,1:31.897
30,7,1:31.903
808,7,1:31.929
67,7,1:32.064
18,7,1:32.104
813,7,1:32.648
153,7,1:32.683
814,7,1:32.699
155,7,1:32.812
15,7,1:32.831
5,7,1:32.854
2,7,1:33.942
16,7,1:34.115
22,7,1:34.265
10,7,1:35.231
24,7,1:35.231
816,7,1:35.278
39,7,1:35.581
815,7,1:36.176
4,8,1:30.164
20,8,1:30.326
1,8,1:30.464
17,8,1:30.497
30,8,1:31.809
3,8,1:31.930
808,8,1:31.958
18,8,1:32.008
13,8,1:32.087
67,8,1:32.421
155,8,1:32.433
814,8,1:32.592
153,8,1:32.720
5,8,1:32.774
15,8,1:32.895
2,8,1:33.343
22,8,1:33.952
16,8,1:34.028
813,8,1:35.624
816,8,1:35.698
39,8,1:35.757
10,8,1:35.914
24,8,1:36.627
815,8,1:53.566
4,9,1:30.303
1,9,1:30.526
17,9,1:30.568
30,9,1:31.849
3,9,1:31.869
13,9,1:32.012
18,9,1:32.050
808,9,1:32.097
814,9,1:32.162
815,9,1:32.481
155,9,1:32.532
153,9,1:32.665
20,9,1:32.911
5,9,1:32.972
15,9,1:33.068
2,9,1:33.166
22,9,1:33.675
16,9,1:33.824
67,9,1:35.014
24,9,1:35.100
816,9,1:35.150
39,9,1:35.215
10,9,1:35.579
813,9,1:49.981
1,10,1:30.838
813,10,1:31.695
815,10,1:31.926
3,10,1:32.404
808,10,1:32.500
155,10,1:32.775
4,10,1:32.825
18,10,1:32.953
814,10,1:33.032
13,10,1:33.074
15,10,1:33.074
2,10,1:33.141
5,10,1:33.168
153,10,1:33.495
16,10,1:34.298
22,10,1:34.548
17,10,1:34.633
30,10,1:34.990
24,10,1:35.092
10,10,1:35.306
39,10,1:35.368
816,10,1:35.486
20,10,1:47.780
67,10,1:49.552
20,11,1:30.311
67,11,1:30.964
18,11,1:31.496
1,11,1:32.882
813,11,1:32.954
15,11,1:33.419
5,11,1:33.450
2,11,1:33.452
155,11,1:33.583
815,11,1:33.918
814,11,1:34.210
24,11,1:34.931
808,11,1:35.398
816,11,1:35.450
10,11,1:35.491
3,11,1:35.520
16,11,1:35.636
39,11,1:36.244
13,11,1:36.365
153,11,1:37.136
22,11,1:37.342
30,11,1:47.184
4,11,1:48.222
17,11,1:48.380
4,12,1:29.323
17,12,1:29.526
20,12,1:29.673
813,12,1:31.452
30,12,1:31.620
18,12,1:31.684
814,12,1:32.115
67,12,1:32.973
155,12,1:33.735
2,12,1:34.138
15,12,1:34.549
5,12,1:34.655
815,12,1:34.836
24,12,1:35.132
16,12,1:35.169
10,12,1:35.600
816,12,1:35.632
39,12,1:36.932
1,12,1:45.417
13,12,1:47.941
3,12,1:48.494
153,12,1:49.040
808,12,1:50.762
22,12,1:58.040
1,13,1:29.076
17,13,1:29.314
20,13,1:29.497
4,13,1:29.809
153,13,1:30.821
22,13,1:30.996
13,13,1:31.307
18,13,1:31.335
813,13,1:31.421
30,13,1:31.663
67,13,1:31.695
808,13,1:32.239
814,13,1:32.789
3,13,1:32.882
815,13,1:33.989
155,13,1:34.279
2,13,1:34.333
15,13,1:34.939
24,13,1:35.039
5,13,1:35.645
39,13,1:36.338
16,13,1:36.397
816,13,1:36.440
10,13,1:36.679
17,14,1:29.453
4,14,1:29.778
1,14,1:29.875
20,14,1:29.944
3,14,1:30.624
13,14,1:30.707
153,14,1:31.172
808,14,1:31.189
30,14,1:31.267
815,14,1:32.061
22,14,1:32.666
155,14,1:32.879
813,14,1:32.886
67,14,1:32.987
814,14,1:33.181
18,14,1:33.547
2,14,1:33.628
24,14,1:34.934
5,14,1:34.949
10,14,1:35.204
15,14,1:35.454
816,14,1:36.273
39,14,1:42.710
16,14,1:49.845
17,15,1:29.664
20,15,1:29.723
1,15,1:29.844
4,15,1:29.856
3,15,1:31.393
13,15,1:31.430
16,15,1:31.573
22,15,1:31.586
808,15,1:31.863
815,15,1:32.392
30,15,1:32.941
67,15,1:33.166
155,15,1:33.193
153,15,1:33.233
813,15,1:33.407
2,15,1:33.813
5,15,1:35.938
24,15,1:35.966
814,15,1:36.301
10,15,1:36.371
15,15,1:37.064
816,15,1:37.136
18,15,1:46.433
39,15,1:57.328
18,16,1:28.792
17,16,1:29.453
4,16,1:29.898
20,16,1:29.949
1,16,1:29.976
3,16,1:30.355
22,16,1:31.292
67,16,1:31.431
30,16,1:31.501
16,16,1:31.599
13,16,1:31.783
813,16,1:32.139
155,16,1:32.285
808,16,1:32.378
815,16,1:32.530
39,16,1:34.425
153,16,1:34.451
2,16,1:36.300
816,16,1:37.238
24,16,1:38.511
10,16,1:39.174
5,16,1:39.751
814,16,1:48.257
15,16,1:51.014
18,17,1:29.107
17,17,1:29.716
1,17,1:30.001
20,17,1:30.170
4,17,1:30.316
814,17,1:30.589
3,17,1:30.745
22,17,1:31.015
153,17,1:31.177
16,17,1:31.212
30,17,1:31.250
808,17,1:31.257
13,17,1:31.291
67,17,1:31.745
15,17,1:31.752
813,17,1:32.002
155,17,1:32.338
815,17,1:32.506
2,17,1:34.318
39,17,1:34.924
816,17,1:40.259
5,17,1:50.402
10,17,1:53.867
24,17,1:54.148
18,18,1:29.463
17,18,1:30.192
4,18,1:30.475
1,18,1:30.482
3,18,1:30.742
808,18,1:31.005
814,18,1:31.016
16,18,1:31.064
13,18,1:31.082
22,18,1:31.124
30,18,1:31.167
153,18,1:31.339
67,18,1:31.647
15,18,1:31.883
813,18,1:32.058
815,18,1:32.398
155,18,1:32.669
20,18,1:33.001
5,18,1:33.240
10,18,1:33.553
2,18,1:33.618
24,18,1:34.115
39,18,1:35.434
816,18,1:55.230
1,19,1:29.603
18,19,1:29.694
30,19,1:30.774
16,19,1:30.856
13,19,1:30.930
808,19,1:31.007
3,19,1:31.017
153,19,1:31.439
814,19,1:31.566
67,19,1:31.650
15,19,1:31.765
813,19,1:31.927
22,19,1:31.933
5,19,1:32.219
4,19,1:32.615
816,19,1:32.982
17,19,1:33.220
815,19,1:33.305
155,19,1:33.402
2,19,1:33.529
39,19,1:34.591
24,19,1:35.071
10,19,1:35.174
20,19,1:44.115
1,20,1:28.024
20,20,1:28.061
18,20,1:29.668
16,20,1:30.874
808,20,1:30.991
3,20,1:31.016
13,20,1:31.065
30,20,1:31.274
67,20,1:31.542
15,20,1:31.684
5,20,1:32.390
814,20,1:32.495
22,20,1:32.571
155,20,1:32.705
153,20,1:32.788
815,20,1:33.427
2,20,1:33.493
816,20,1:33.585
10,20,1:34.599
24,20,1:35.481
813,20,1:35.890
39,20,1:38.738
17,20,1:44.615
4,20,1:45.987
20,21,1:27.394
17,21,1:28.259
1,21,1:28.595
4,21,1:28.878
18,21,1:29.626
16,21,1:30.598
30,21,1:31.230
3,21,1:31.467
808,21,1:31.477
67,21,1:31.623
15,21,1:31.686
153,21,1:31.858
814,21,1:31.895
815,21,1:32.041
22,21,1:32.727
5,21,1:32.947
155,21,1:33.326
10,21,1:33.441
13,21,1:33.836
39,21,1:34.459
24,21,1:34.594
816,21,1:35.716
2,21,1:37.521
813,21,1:51.772
20,22,1:28.078
17,22,1:28.511
4,22,1:28.737
1,22,1:29.022
18,22,1:29.198
813,22,1:29.394
16,22,1:31.013
15,22,1:31.581
30,22,1:31.610
808,22,1:31.658
67,22,1:31.799
3,22,1:31.839
815,22,1:31.868
814,22,1:32.123
153,22,1:32.163
155,22,1:32.576
5,22,1:32.623
22,22,1:32.647
10,22,1:33.464
24,22,1:33.884
39,22,1:34.269
816,22,1:35.573
2,22,1:47.556
13,22,1:47.668
20,23,1:28.571
4,23,1:29.003
17,23,1:29.029
18,23,1:29.511
2,23,1:29.817
814,23,1:30.106
813,23,1:30.119
13,23,1:30.223
30,23,1:31.139
3,23,1:31.187
16,23,1:31.312
1,23,1:31.408
15,23,1:31.581
815,23,1:32.001
67,23,1:32.144
5,23,1:32.426
155,23,1:32.519
10,23,1:33.532
808,23,1:33.845
816,23,1:33.887
153,23,1:33.903
24,23,1:34.269
22,23,1:34.975
39,23,1:35.896
20,24,1:28.782
13,24,1:29.081
4,24,1:29.670
17,24,1:29.709
18,24,1:29.811
813,24,1:31.427
2,24,1:31.494
15,24,1:31.549
