driver,lap,time
808,57,1:33.144
808,58,1:30.729
808,59,1:30.583
808,60,1:31.196
808,61,1:30.981
808,62,1:30.532
808,63,1:30.901
808,64,1:30.999
808,65,1:32.366
30,1,1:38.633
30,2,1:32.839
30,3,1:32.136
30,4,1:32.005
30,5,1:31.738
30,6,1:31.711
30,7,1:31.903
30,8,1:31.809
30,9,1:31.849
30,10,1:34.990
30,11,1:47.184
30,12,1:31.620
30,13,1:31.663
30,14,1:31.267
30,15,1:32.941
30,16,1:31.501
30,17,1:31.250
30,18,1:31.167
30,19,1:30.774
30,20,1:31.274
30,21,1:31.230
30,22,1:31.610
30,23,1:31.139
30,24,1:31.669
30,25,1:32.320
30,26,1:33.631
30,27,1:47.167
30,28,1:30.838
30,29,1:30.804
30,30,1:30.428
30,31,1:30.573
30,32,1:30.241
30,33,1:30.058
30,34,1:29.463
30,35,1:30.197
30,36,1:30.717
30,37,1:30.428
30,38,1:29.923
30,39,1:31.798
30,40,1:30.965
30,41,1:32.641
30,42,1:47.165
30,43,1:29.572
30,44,1:29.818
30,45,1:30.228
30,46,1:30.367
30,47,1:31.740
30,48,1:30.980
30,49,1:29.821
30,50,1:30.272
30,51,1:30.616
30,52,1:30.021
30,53,1:29.953
30,54,1:32.203
30,55,1:30.225
30,56,1:30.065
30,57,1:29.804
30,58,1:30.236
30,59,1:30.661
30,60,1:29.672
30,61,1:29.848
30,62,1:29.833
30,63,1:30.277
30,64,1:29.851
30,65,1:30.373
3,1,1:39.139
3,2,1:32.784
3,3,1:32.187
3,4,1:32.434
3,5,1:31.597
3,6,1:31.710
3,7,1:31.829
3,8,1:31.930
3,9,1:31.869
3,10,1:32.404
3,11,1:35.520
3,12,1:48.494
3,13,1:32.882
3,14,1:30.624
3,15,1:31.393
3,16,1:30.355
3,17,1:30.745
3,18,1:30.742
3,19,1:31.017
3,20,1:31.016
3,21,1:31.467
3,22,1:31.839
3,23,1:31.187
3,24,1:31.734
3,25,1:32.333
3,26,1:32.891
3,27,1:35.206
3,28,1:46.678
3,29,1:31.725
3,30,1:29.596
3,31,1:29.705
3,32,1:29.958
3,33,1:29.671
3,34,1:29.155
3,35,1:29.323
3,36,1:29.622
3,37,1:30.433
3,38,1:30.361
3,39,1:31.210
3,40,1:31.556
3,41,1:30.501
3,42,1:32.936
3,43,1:47.254
3,44,1:29.608
3,45,1:29.763
3,46,1:32.848
3,47,1:30.120
3,48,1:29.839
3,49,1:29.797
3,50,1:30.123
3,51,1:30.297
3,52,1:30.591
3,53,1:29.887
3,54,1:32.910
3,55,1:30.652
3,56,1:29.670
3,57,1:29.417
3,58,1:30.549
3,59,1:29.817
3,60,1:29.564
3,61,1:29.923
3,62,1:29.636
3,63,1:29.964
3,64,1:30.262
3,65,1:30.321
13,1,1:39.979
13,2,1:32.589
13,3,1:32.187
13,4,1:32.103
13,5,1:31.895
13,6,1:31.839
13,7,1:31.897
13,8,1:32.087
13,9,1:32.012
13,10,1:33.074
13,11,1:36.365
13,12,1:47.941
13,13,1:31.307
13,14,1:30.707
13,15,1:31.430
13,16,1:31.783
13,17,1:31.291
13,18,1:31.082
13,19,1:30.930
13,20,1:31.065
13,21,1:33.836
13,22,1:47.668
13,23,1:30.223
13,24,1:29.081
13,25,1:29.942
13,26,1:29.386
13,27,1:29.518
13,28,1:29.964
13,29,1:30.917
13,30,1:30.396
13,31,1:30.259
13,32,1:30.910
13,33,1:31.048
13,34,1:30.867
13,35,1:31.879
13,36,1:34.786
13,37,1:50.369
13,38,1:34.224
13,39,1:30.593
13,40,1:30.635
13,41,1:30.438
13,42,1:31.057
13,43,1:32.775
13,44,1:31.396
13,45,1:30.644
13,46,1:30.727
13,47,1:30.814
13,48,1:31.023
13,49,1:30.614
13,50,1:33.359
13,51,1:30.834
13,52,1:30.718
13,53,1:30.888
13,54,1:31.064
13,55,1:30.296
13,56,1:30.966
13,57,1:31.103
13,58,1:32.777
67,1,1:40.611
67,2,1:33.281
67,3,1:32.686
67,4,1:33.231
67,5,1:32.265
67,6,1:31.834
67,7,1:32.064
67,8,1:32.421
67,9,1:35.014
67,10,1:49.552
67,11,1:30.964
67,12,1:32.973
67,13,1:31.695
67,14,1:32.987
67,15,1:33.166
67,16,1:31.431
67,17,1:31.745
67,18,1:31.647
67,19,1:31.650
67,20,1:31.542
67,21,1:31.623
67,22,1:31.799
67,23,1:32.144
67,24,1:32.631
67,25,1:35.502
67,26,1:52.156
67,27,1:30.049
67,28,1:31.987
67,29,1:31.859
67,30,1:30.537
67,31,1:30.357
67,32,1:30.932
67,33,1:34.728
67,34,1:30.570
67,35,1:30.573
67,36,1:30.974
67,37,1:30.771
67,38,1:31.065
67,39,1:31.713
67,40,1:31.390
67,41,1:33.954
67,42,1:37.423
67,43,1:51.010
67,44,1:30.314
67,45,1:30.378
67,46,1:30.545
67,47,1:30.308
67,48,1:31.458
67,49,1:31.759
67,50,1:31.437
67,51,1:30.638
67,52,1:30.646
67,53,1:30.889
67,54,1:30.286
67,55,1:30.578
67,56,1:30.867
67,57,1:30.839
67,58,1:31.215
67,59,1:30.295
67,60,1:30.599
67,61,1:31.343
67,62,1:31.280
67,63,1:32.217
67,64,1:31.412
67,65,1:32.030
18,1,1:40.998
18,2,1:33.150
18,3,1:32.804
18,4,1:31.195
18,5,1:31.097
18,6,1:31.635
18,7,1:32.104
18,8,1:32.008
18,9,1:32.050
18,10,1:32.953
18,11,1:31.496
18,12,1:31.684
18,13,1:31.335
18,14,1:33.547
18,15,1:46.433
18,16,1:28.792
18,17,1:29.107
18,18,1:29.463
18,19,1:29.694
18,20,1:29.668
18,21,1:29.626
18,22,1:29.198
18,23,1:29.511
18,24,1:29.811
18,25,1:30.013
18,26,1:29.935
18,27,1:30.050
18,28,1:30.221
18,29,1:30.188
18,30,1:33.425
18,31,1:46.938
18,32,1:28.490
18,33,1:28.995
18,34,1:28.887
18,35,1:29.349
18,36,1:28.991
18,37,1:28.658
18,38,1:29.106
18,39,1:29.168
18,40,1:28.913
18,41,1:29.045
18,42,1:28.735
18,43,1:28.830
18,44,1:29.028
18,45,1:29.168
18,46,1:29.279
18,47,1:29.930
18,48,1:32.247
18,49,1:45.467
18,50,1:28.814
18,51,1:27.920
18,52,1:27.892
18,53,1:28.639
18,54,1:28.013
18,55,1:27.978
18,56,1:28.015
18,57,1:28.612
18,58,1:27.657
18,59,1:27.631
18,60,1:27.878
18,61,1:28.643
18,62,1:27.697
18,63,1:27.518
18,64,1:27.955
18,65,1:27.776
18,66,1:27.945
815,1,1:41.433
815,2,1:33.462
815,3,1:32.783
815,4,1:32.668
815,5,1:32.343
815,6,1:32.046
815,7,1:36.176
815,8,1:53.566
815,9,1:32.481
