driver,lap,time
858,16,1:51.904
857,17,1:29.954
847,17,1:30.049
1,17,1:30.095
846,17,1:30.133
839,17,1:30.134
4,17,1:30.308
807,17,1:30.356
817,17,1:30.391
858,17,1:30.404
840,17,1:30.500
855,17,1:30.892
852,17,1:31.228
822,17,1:31.561
832,17,1:31.621
825,17,1:32.454
844,17,1:32.468
815,17,1:33.256
842,17,1:34.709
830,17,1:50.188
848,17,1:51.901
847,18,1:29.522
830,18,1:29.896
846,18,1:30.044
1,18,1:30.057
839,18,1:30.276
4,18,1:30.380
857,18,1:30.438
848,18,1:30.463
817,18,1:30.697
832,18,1:30.960
855,18,1:30.973
840,18,1:31.011
852,18,1:31.244
858,18,1:31.295
807,18,1:31.635
825,18,1:32.108
822,18,1:32.236
815,18,1:49.031
844,18,1:50.342
842,18,1:51.405
815,19,1:29.365
830,19,1:29.386
846,19,1:29.727
844,19,1:29.908
1,19,1:29.979
842,19,1:30.000
839,19,1:30.132
4,19,1:30.205
807,19,1:30.335
847,19,1:30.358
858,19,1:30.368
817,19,1:30.418
857,19,1:30.498
848,19,1:30.573
840,19,1:30.640
855,19,1:31.083
852,19,1:31.453
832,19,1:31.551
825,19,1:32.160
822,19,1:32.309
815,20,1:29.107
830,20,1:29.628
1,20,1:29.657
846,20,1:29.902
844,20,1:30.073
847,20,1:30.088
857,20,1:30.088
839,20,1:30.128
842,20,1:30.242
4,20,1:30.380
848,20,1:30.392
858,20,1:30.406
807,20,1:30.436
840,20,1:30.655
832,20,1:30.933
817,20,1:31.085
855,20,1:31.099
852,20,1:31.211
825,20,1:31.521
822,20,1:32.795
815,21,1:28.986
830,21,1:29.127
844,21,1:29.724
846,21,1:29.781
1,21,1:29.850
4,21,1:29.887
857,21,1:29.888
847,21,1:30.118
839,21,1:30.246
858,21,1:30.281
842,21,1:30.422
848,21,1:30.540
807,21,1:30.636
817,21,1:30.686
855,21,1:31.055
852,21,1:31.134
840,21,1:31.623
825,21,1:31.950
832,21,1:32.184
822,21,1:32.462
830,22,1:29.689
844,22,1:29.704
815,22,1:29.719
847,22,1:29.786
842,22,1:30.179
855,22,1:30.353
846,22,1:30.393
858,22,1:30.434
807,22,1:30.451
4,22,1:30.463
857,22,1:30.496
848,22,1:30.706
839,22,1:30.756
817,22,1:30.883
1,22,1:31.502
832,22,1:32.071
852,22,1:32.567
840,22,1:32.915
822,22,1:32.922
825,22,1:34.337
830,23,1:29.634
847,23,1:29.672
815,23,1:29.710
844,23,1:29.847
4,23,1:30.102
857,23,1:30.103
846,23,1:30.240
1,23,1:30.265
848,23,1:30.272
817,23,1:30.476
855,23,1:30.707
858,23,1:30.837
807,23,1:31.020
842,23,1:31.158
839,23,1:31.726
822,23,1:32.934
832,23,1:33.587
840,23,1:48.971
852,23,1:50.404
825,23,1:51.422
830,24,1:29.293
847,24,1:29.355
844,24,1:29.577
846,24,1:29.791
1,24,1:29.861
857,24,1:29.958
815,24,1:30.001
4,24,1:30.093
817,24,1:30.295
852,24,1:30.313
840,24,1:30.353
848,24,1:30.511
858,24,1:30.609
839,24,1:30.791
842,24,1:30.802
855,24,1:30.957
807,24,1:31.104
825,24,1:31.448
822,24,1:32.360
832,24,1:49.257
1,25,1:29.370
830,25,1:29.401
847,25,1:29.545
815,25,1:29.572
846,25,1:29.637
844,25,1:29.707
840,25,1:29.870
857,25,1:30.028
852,25,1:30.104
832,25,1:30.188
839,25,1:30.338
858,25,1:30.530
825,25,1:30.592
848,25,1:30.655
855,25,1:30.695
842,25,1:30.852
807,25,1:30.868
4,25,1:30.951
817,25,1:31.132
822,25,1:32.139
840,26,1:28.860
830,26,1:29.289
846,26,1:29.308
847,26,1:29.540
844,26,1:29.655
852,26,1:29.724
815,26,1:29.864
1,26,1:29.899
857,26,1:29.918
4,26,1:29.936
832,26,1:30.007
848,26,1:30.092
825,26,1:30.599
858,26,1:30.608
842,26,1:30.629
839,26,1:30.993
807,26,1:31.444
855,26,1:31.879
817,26,1:31.949
