driver,lap,time
852,1,1:35.435
852,2,1:31.674
852,3,1:30.674
852,4,1:30.757
852,5,1:30.685
852,6,1:30.786
852,7,1:30.826
852,8,1:31.097
852,9,1:30.862
852,10,1:31.104
852,11,1:31.472
852,12,1:31.466
852,13,1:31.198
852,14,1:30.850
852,15,1:30.901
852,16,1:31.081
852,17,1:31.228
852,18,1:31.244
852,19,1:31.453
852,20,1:31.211
852,21,1:31.134
852,22,1:32.567
852,23,1:50.404
852,24,1:30.313
852,25,1:30.104
852,26,1:29.724
852,27,1:29.942
852,28,1:29.892
852,29,1:29.688
852,30,1:29.989
852,31,1:29.667
852,32,1:29.968
852,33,1:29.759
852,34,1:29.976
852,35,1:29.773
852,36,1:29.640
852,37,1:29.834
852,38,1:30.579
852,39,1:31.013
852,40,1:29.633
852,41,1:29.511
852,42,1:30.349
852,43,1:29.659
852,44,1:29.732
852,45,1:29.315
852,46,1:29.410
852,47,1:29.335
852,48,1:30.932
852,49,1:29.951
852,50,1:29.643
852,51,1:29.529
852,52,1:29.454
852,53,1:29.413
852,54,1:29.385
852,55,1:29.256
852,56,1:31.027
852,57,1:29.828
852,58,1:30.380
