driver,lap,time
848,1,1:40.625
848,2,1:33.560
848,3,1:31.768
848,4,1:31.591
848,5,1:31.422
848,6,1:31.491
848,7,1:31.438
848,8,1:31.580
848,9,1:31.644
848,10,1:31.978
848,11,1:31.962
848,12,1:31.958
848,13,1:31.700
848,14,1:31.655
848,15,1:31.729
848,16,1:34.282
848,17,1:51.901
848,18,1:30.463
848,19,1:30.573
848,20,1:30.392
848,21,1:30.540
848,22,1:30.706
848,23,1:30.272
848,24,1:30.511
848,25,1:30.655
848,26,1:30.092
848,27,1:30.728
848,28,1:30.631
848,29,1:30.588
848,30,1:30.591
848,31,1:30.555
848,32,1:30.350
848,33,1:30.447
848,34,1:30.026
848,35,1:29.987
848,36,1:30.341
848,37,1:30.413
848,38,1:30.238
848,39,1:30.497
848,40,1:30.331
848,41,1:30.310
848,42,1:30.355
848,43,1:32.175
848,44,1:49.385
848,45,1:27.845
848,46,1:28.694
848,47,1:28.740
848,48,1:28.920
848,49,1:28.761
848,50,1:29.011
848,51,1:28.675
848,52,1:28.402
848,53,1:28.608
848,54,1:28.812
848,55,1:28.742
848,56,1:28.743
848,57,1:28.749
848,58,1:28.670
