driver,lap,time
815,1,1:37.745
815,2,1:31.672
815,3,1:30.469
815,4,1:30.759
815,5,1:30.797
815,6,1:30.682
815,7,1:30.818
815,8,1:30.993
815,9,1:31.287
815,10,1:31.214
815,11,1:31.535
815,12,1:30.874
815,13,1:31.309
815,14,1:31.190
815,15,1:31.225
815,16,1:31.375
815,17,1:33.256
815,18,1:49.031
815,19,1:29.365
815,20,1:29.107
815,21,1:28.986
815,22,1:29.719
815,23,1:29.710
815,24,1:30.001
815,25,1:29.572
815,26,1:29.864
815,27,1:29.340
815,28,1:28.954
815,29,1:29.563
815,30,1:29.480
815,31,1:29.413
815,32,1:29.314
815,33,1:29.261
815,34,1:29.316
815,35,1:29.243
815,36,1:28.928
815,37,1:28.992
815,38,1:29.043
815,39,1:29.130
815,40,1:28.909
815,41,1:29.195
815,42,1:30.958
815,43,1:48.079
815,44,1:27.493
815,45,1:27.837
815,46,1:27.914
815,47,1:28.401
815,48,1:27.970
815,49,1:27.926
815,50,1:27.758
815,51,1:27.866
815,52,1:27.886
815,53,1:28.307
815,54,1:28.024
815,55,1:28.187
815,56,1:27.896
815,57,1:27.991
815,58,1:27.948
