driver,lap,time
858,1,1:42.022
858,2,1:33.582
858,3,1:31.400
858,4,1:31.487
858,5,1:32.275
858,6,1:31.712
858,7,1:31.157
858,8,1:31.542
858,9,1:31.408
858,10,1:32.038
858,11,1:31.882
858,12,1:31.889
858,13,1:32.050
858,14,1:31.825
858,15,1:34.856
858,16,1:51.904
858,17,1:30.404
858,18,1:31.295
858,19,1:30.368
858,20,1:30.406
858,21,1:30.281
858,22,1:30.434
858,23,1:30.837
858,24,1:30.609
858,25,1:30.530
858,26,1:30.608
858,27,1:30.465
858,28,1:30.987
858,29,1:30.693
858,30,1:30.642
858,31,1:30.647
858,32,1:31.130
858,33,1:30.878
858,34,1:30.769
858,35,1:30.545
858,36,1:30.740
858,37,1:31.780
858,38,1:31.231
858,39,1:31.989
858,40,1:31.754
858,41,1:32.696
858,42,1:50.027
858,43,1:28.580
858,44,1:28.645
858,45,1:28.791
858,46,1:28.918
858,47,1:29.458
858,48,1:29.931
858,49,1:28.896
858,50,1:28.980
858,51,1:28.837
858,52,1:28.640
858,53,1:28.943
858,54,1:28.923
858,55,1:29.025
858,56,1:29.430
858,57,1:29.265
858,58,1:29.379
