driver,lap,time
807,1,1:39.291
807,2,1:32.921
807,3,1:31.351
807,4,1:31.374
807,5,1:31.227
807,6,1:31.101
807,7,1:31.332
807,8,1:31.500
807,9,1:31.545
807,10,1:31.583
807,11,1:32.002
807,12,1:31.827
807,13,1:33.719
807,14,1:50.743
807,15,1:30.133
807,16,1:30.574
807,17,1:30.356
807,18,1:31.635
807,19,1:30.335
807,20,1:30.436
807,21,1:30.636
807,22,1:30.451
807,23,1:31.020
807,24,1:31.104
807,25,1:30.868
807,26,1:31.444
807,27,1:32.085
807,28,1:31.580
807,29,1:31.768
807,30,1:30.667
807,31,1:30.593
807,32,1:30.845
807,33,1:32.455
807,34,1:50.198
807,35,1:30.498
807,36,1:29.691
807,37,1:29.747
807,38,1:29.462
807,39,1:30.091
807,40,1:30.121
807,41,1:29.893
807,42,1:29.396
807,43,1:29.485
807,44,1:29.542
807,45,1:29.500
807,46,1:29.456
807,47,1:30.035
807,48,1:30.121
807,49,1:30.705
807,50,1:30.200
807,51,1:30.079
807,52,1:30.105
807,53,1:30.090
807,54,1:29.667
807,55,1:29.576
807,56,1:29.507
807,57,1:29.437
807,58,1:29.217
