driver,lap,time
839,1,1:38.197
839,2,1:31.810
839,3,1:31.033
839,4,1:30.988
839,5,1:30.994
839,6,1:30.689
839,7,1:30.932
839,8,1:30.997
839,9,1:31.073
839,10,1:31.254
839,11,1:31.422
839,12,1:31.527
839,13,1:31.770
839,14,1:31.647
839,15,1:33.667
839,16,1:50.615
839,17,1:30.134
839,18,1:30.276
839,19,1:30.132
839,20,1:30.128
839,21,1:30.246
839,22,1:30.756
839,23,1:31.726
839,24,1:30.791
839,25,1:30.338
839,26,1:30.993
839,27,1:30.578
839,28,1:30.322
839,29,1:30.504
839,30,1:30.514
839,31,1:30.319
839,32,1:30.243
839,33,1:30.244
839,34,1:30.033
839,35,1:30.474
839,36,1:30.622
839,37,1:30.307
839,38,1:30.138
839,39,1:32.095
839,40,1:30.447
839,41,1:30.252
839,42,1:30.742
839,43,1:31.081
839,44,1:30.431
839,45,1:30.163
839,46,1:30.113
839,47,1:30.177
839,48,1:30.359
839,49,1:30.258
839,50,1:30.986
839,51,1:30.310
839,52,1:30.984
839,53,1:30.283
839,54,1:30.272
839,55,1:30.287
839,56,1:30.208
839,57,1:30.477
839,58,1:30.639
