driver,lap,time
832,1,1:39.674
832,2,1:31.980
832,3,1:31.308
832,4,1:31.099
832,5,1:31.158
832,6,1:31.175
832,7,1:31.301
832,8,1:31.263
832,9,1:30.965
832,10,1:31.305
832,11,1:31.085
832,12,1:31.278
832,13,1:31.385
832,14,1:31.416
832,15,1:31.619
832,16,1:31.197
832,17,1:31.621
832,18,1:30.960
832,19,1:31.551
832,20,1:30.933
832,21,1:32.184
832,22,1:32.071
832,23,1:33.587
832,24,1:49.257
832,25,1:30.188
832,26,1:30.007
832,27,1:29.841
832,28,1:29.977
832,29,1:29.640
832,30,1:29.700
832,31,1:29.764
832,32,1:29.897
832,33,1:29.760
832,34,1:29.674
832,35,1:29.494
832,36,1:30.228
832,37,1:29.807
832,38,1:29.746
832,39,1:30.581
832,40,1:29.635
832,41,1:29.495
832,42,1:29.452
832,43,1:29.612
832,44,1:29.809
832,45,1:30.132
832,46,1:30.712
832,47,1:31.102
832,48,1:30.565
832,49,1:30.033
832,50,1:29.873
832,51,1:29.718
832,52,1:29.645
832,53,1:29.775
832,54,1:29.734
832,55,1:29.654
832,56,1:31.454
832,57,1:50.847
