driver,lap,time
1,1,1:37.227
1,2,1:31.727
1,3,1:31.526
1,4,1:30.844
1,5,1:30.844
1,6,1:30.634
1,7,1:30.899
1,8,1:31.061
1,9,1:31.132
1,10,1:31.271
1,11,1:31.378
1,12,1:31.716
1,13,1:31.689
1,14,1:31.432
1,15,1:33.651
1,16,1:50.835
1,17,1:30.095
1,18,1:30.057
1,19,1:29.979
1,20,1:29.657
1,21,1:29.850
1,22,1:31.502
1,23,1:30.265
1,24,1:29.861
1,25,1:29.370
1,26,1:29.899
1,27,1:29.568
1,28,1:29.691
1,29,1:29.842
1,30,1:30.118
1,31,1:29.806
1,32,1:29.876
1,33,1:29.774
1,34,1:29.789
1,35,1:31.324
1,36,1:48.781
1,37,1:29.532
1,38,1:30.373
1,39,1:29.221
1,40,1:28.867
1,41,1:28.810
1,42,1:28.793
1,43,1:28.711
1,44,1:28.990
1,45,1:29.023
1,46,1:29.729
1,47,1:29.528
1,48,1:28.814
1,49,1:28.809
1,50,1:28.585
1,51,1:28.531
1,52,1:28.372
1,53,1:28.474
1,54,1:28.634
1,55,1:28.584
1,56,1:29.138
1,57,1:29.666
1,58,1:30.894
