driver,lap,time
822,1,1:40.300
822,2,1:32.770
822,3,1:31.698
822,4,1:31.281
822,5,1:31.445
822,6,1:31.122
822,7,1:31.189
822,8,1:31.206
822,9,1:31.716
822,10,1:31.713
822,11,1:31.616
822,12,1:31.780
822,13,1:31.887
822,14,1:31.709
822,15,1:31.436
822,16,1:31.475
822,17,1:31.561
822,18,1:32.236
822,19,1:32.309
822,20,1:32.795
822,21,1:32.462
822,22,1:32.922
822,23,1:32.934
822,24,1:32.360
822,25,1:32.139
822,26,1:32.821
822,27,1:31.817
822,28,1:32.424
822,29,1:34.094
822,30,1:53.086
822,31,1:31.308
822,32,1:30.245
822,33,1:30.623
822,34,1:30.473
822,35,1:30.401
822,36,1:30.207
822,37,1:30.246
822,38,1:30.016
822,39,1:30.001
822,40,1:30.345
822,41,1:30.161
822,42,1:29.863
822,43,1:31.418
822,44,1:29.999
822,45,1:30.495
822,46,1:29.998
822,47,1:30.448
822,48,1:30.492
822,49,1:30.688
822,50,1:31.586
822,51,1:31.017
822,52,1:30.924
822,53,1:31.713
822,54,1:30.855
822,55,1:30.530
822,56,1:30.130
822,57,1:30.550
