driver,lap,time
817,1,1:39.948
817,2,1:32.742
817,3,1:31.519
817,4,1:31.284
817,5,1:31.326
817,6,1:31.064
817,7,1:33.072
817,8,1:50.258
817,9,1:29.815
817,10,1:30.238
817,11,1:30.430
817,12,1:30.078
817,13,1:30.271
817,14,1:30.424
817,15,1:30.475
817,16,1:30.482
817,17,1:30.391
817,18,1:30.697
817,19,1:30.418
817,20,1:31.085
817,21,1:30.686
817,22,1:30.883
817,23,1:30.476
817,24,1:30.295
817,25,1:31.132
817,26,1:31.949
817,27,1:30.737
817,28,1:30.697
817,29,1:31.307
817,30,1:30.678
817,31,1:32.484
817,32,1:50.058
817,33,1:29.349
817,34,1:29.584
817,35,1:29.814
817,36,1:30.531
817,37,1:31.968
817,38,1:31.008
817,39,1:30.068
817,40,1:28.841
817,41,1:28.838
817,42,1:28.581
817,43,1:30.055
817,44,1:28.818
817,45,1:28.705
817,46,1:28.708
817,47,1:28.571
817,48,1:28.702
817,49,1:28.791
817,50,1:29.065
817,51,1:29.332
817,52,1:28.743
817,53,1:28.742
817,54,1:28.760
817,55,1:28.871
817,56,1:28.929
817,57,1:29.060
817,58,1:29.020
