driver,lap,time
842,1,1:36.636
842,2,1:31.774
842,3,1:30.824
842,4,1:30.758
842,5,1:30.764
842,6,1:30.886
842,7,1:30.787
842,8,1:30.944
842,9,1:31.305
842,10,1:31.136
842,11,1:31.467
842,12,1:32.492
842,13,1:31.532
842,14,1:31.457
842,15,1:31.986
842,16,1:32.273
842,17,1:34.709
842,18,1:51.405
842,19,1:30.000
842,20,1:30.242
842,21,1:30.422
842,22,1:30.179
842,23,1:31.158
842,24,1:30.802
842,25,1:30.852
842,26,1:30.629
842,27,1:30.404
842,28,1:30.496
842,29,1:30.329
842,30,1:30.392
842,31,1:30.239
842,32,1:32.563
842,33,1:51.301
842,34,1:29.151
842,35,1:29.016
842,36,1:29.351
842,37,1:30.010
842,38,1:30.098
842,39,1:30.797
842,40,1:29.859
842,41,1:29.621
842,42,1:29.231
842,43,1:29.717
842,44,1:29.770
842,45,1:29.503
842,46,1:29.428
842,47,1:29.726
842,48,1:29.505
842,49,1:29.518
842,50,1:29.549
842,51,1:29.445
842,52,1:29.587
842,53,1:29.532
842,54,1:29.435
842,55,1:29.307
842,56,1:29.496
842,57,1:29.642
842,58,1:29.547
