driver,lap,time
855,1,1:40.960
855,2,1:32.533
855,3,1:31.817
855,4,1:31.303
855,5,1:31.440
855,6,1:31.331
855,7,1:31.227
855,8,1:31.318
855,9,1:31.662
855,10,1:31.936
855,11,1:31.845
855,12,1:32.298
855,13,1:33.899
855,14,1:52.402
855,15,1:30.762
855,16,1:30.842
855,17,1:30.892
855,18,1:30.973
855,19,1:31.083
855,20,1:31.099
855,21,1:31.055
855,22,1:30.353
855,23,1:30.707
855,24,1:30.957
855,25,1:30.695
855,26,1:31.879
855,27,1:30.619
855,28,1:30.782
855,29,1:30.608
855,30,1:31.054
855,31,1:30.935
855,32,1:30.874
855,33,1:30.844
855,34,1:30.941
855,35,1:30.594
855,36,1:30.670
855,37,1:32.936
855,38,1:50.896
855,39,1:28.951
855,40,1:29.081
855,41,1:29.402
855,42,1:28.972
855,43,1:28.746
855,44,1:29.083
855,45,1:29.890
855,46,1:29.324
855,47,1:29.409
855,48,1:29.383
855,49,1:29.766
855,50,1:29.704
855,51,1:29.702
855,52,1:29.608
855,53,1:29.781
855,54,1:30.289
855,55,1:30.416
855,56,1:30.200
855,57,1:30.991
855,58,1:30.327
