driver,lap,time
847,1,1:34.776
847,2,1:31.598
847,3,1:30.598
847,4,1:30.797
847,5,1:30.689
847,6,1:30.808
847,7,1:30.842
847,8,1:30.933
847,9,1:30.767
847,10,1:31.140
847,11,1:30.856
847,12,1:30.950
847,13,1:30.816
847,14,1:32.471
847,15,1:49.517
847,16,1:29.537
847,17,1:30.049
847,18,1:29.522
847,19,1:30.358
847,20,1:30.088
847,21,1:30.118
847,22,1:29.786
847,23,1:29.672
847,24,1:29.355
847,25,1:29.545
847,26,1:29.540
847,27,1:29.432
847,28,1:29.565
847,29,1:29.722
847,30,1:29.840
847,31,1:29.402
847,32,1:29.692
847,33,1:29.593
847,34,1:30.962
847,35,1:49.329
847,36,1:28.687
847,37,1:28.943
847,38,1:29.243
847,39,1:29.194
847,40,1:28.683
847,41,1:28.612
847,42,1:28.792
847,43,1:28.524
847,44,1:28.360
847,45,1:28.187
847,46,1:28.192
847,47,1:28.261
847,48,1:28.530
847,49,1:28.428
847,50,1:28.400
847,51,1:28.692
847,52,1:28.877
847,53,1:28.825
847,54,1:30.038
847,55,1:28.976
847,56,1:28.466
847,57,1:28.557
847,58,1:28.820
