driver,lap,time
825,1,1:41.597
825,2,1:33.067
825,3,1:31.711
825,4,1:31.593
825,5,1:33.881
825,6,1:50.942
825,7,1:30.445
825,8,1:30.312
825,9,1:30.325
825,10,1:30.814
825,11,1:31.051
825,12,1:30.791
825,13,1:30.956
825,14,1:31.074
825,15,1:31.241
825,16,1:31.910
825,17,1:32.454
825,18,1:32.108
825,19,1:32.160
825,20,1:31.521
825,21,1:31.950
825,22,1:34.337
825,23,1:51.422
825,24,1:31.448
825,25,1:30.592
825,26,1:30.599
825,27,1:30.691
825,28,1:30.709
825,29,1:30.628
825,30,1:30.116
825,31,1:30.631
825,32,1:30.684
825,33,1:30.437
825,34,1:30.452
825,35,1:30.413
825,36,1:30.674
825,37,1:30.345
825,38,1:30.376
825,39,1:30.425
825,40,1:31.437
825,41,1:30.480
825,42,1:30.356
825,43,1:30.057
825,44,1:30.084
825,45,1:30.110
825,46,1:29.934
825,47,1:31.923
825,48,1:30.657
825,49,1:30.553
825,50,1:30.509
825,51,1:30.432
825,52,1:31.497
825,53,1:30.445
825,54,1:30.207
825,55,1:30.252
825,56,1:30.429
825,57,1:31.256
