driver,lap,time
4,1,1:36.044
4,2,1:31.755
4,3,1:30.823
4,4,1:30.660
4,5,1:30.773
4,6,1:30.803
4,7,1:30.782
4,8,1:31.109
4,9,1:30.915
4,10,1:31.180
4,11,1:31.381
4,12,1:33.378
4,13,1:50.005
4,14,1:30.466
4,15,1:30.389
4,16,1:30.314
4,17,1:30.308
4,18,1:30.380
4,19,1:30.205
4,20,1:30.380
4,21,1:29.887
4,22,1:30.463
4,23,1:30.102
4,24,1:30.093
4,25,1:30.951
4,26,1:29.936
4,27,1:30.229
4,28,1:30.559
4,29,1:30.009
4,30,1:30.415
4,31,1:30.128
4,32,1:29.807
4,33,1:30.426
4,34,1:29.884
4,35,1:29.869
4,36,1:32.048
4,37,1:50.279
4,38,1:28.909
4,39,1:28.800
4,40,1:28.617
4,41,1:28.810
4,42,1:28.256
4,43,1:28.769
4,44,1:28.986
4,45,1:30.177
4,46,1:28.554
4,47,1:28.625
4,48,1:28.592
4,49,1:28.500
4,50,1:28.619
4,51,1:28.491
4,52,1:28.604
4,53,1:28.714
4,54,1:29.174
4,55,1:28.952
4,56,1:29.108
4,57,1:29.038
4,58,1:28.706
